nconst,primaryName,First Name,Last Name,birthYear,deathYear,primaryProfession,knownForTitles,"Asian,GreaterEastAsian,EastAsian","Asian,GreaterEastAsian,Japanese","Asian,IndianSubContinent","GreaterAfrican,Africans","GreaterAfrican,Muslim","GreaterEuropean,British","GreaterEuropean,EastEuropean","GreaterEuropean,Jewish","GreaterEuropean,WestEuropean,French","GreaterEuropean,WestEuropean,Germanic","GreaterEuropean,WestEuropean,Hispanic","GreaterEuropean,WestEuropean,Italian","GreaterEuropean,WestEuropean,Nordic",race
nm2188865,Yassmin Alers,Yassmin,Alers,1962,\N,"actress,soundtrack","tt3581652,tt0203259,tt1160313,tt0445922",0.00025697873,0.0012027253,0.0035073932,0.03491606,0.62363887,0.038034216,0.016575782,0.20208766,0.043827046,0.008467167,0.014118376,0.008915953,0.0044518015,"GreaterAfrican,Muslim"
nm0808902,Kavan Smith,Kavan,Smith,1970,\N,"actor,producer,writer","tt0374455,tt4047038,tt0115392,tt0183523",0.007516408,0.0034667181,0.020751236,0.012875338,0.0045595965,0.5081929,0.12383078,0.073726244,0.049329374,0.08622316,0.014195698,0.008864385,0.08646823,"GreaterEuropean,British"
nm0249291,Joel Edgerton,Joel,Edgerton,1974,\N,"actor,producer,writer","tt7008872,tt4178092,tt1343092,tt4669986",0.006877827,0.005224028,0.0023422039,0.0036375653,0.00027645833,0.9045132,0.0015543163,0.036911562,0.00788557,0.0012923892,0.024565963,0.004305163,0.000613761,"GreaterEuropean,British"
nm0573862,Ian McNeice,Ian,McNeice,1950,\N,"actor,soundtrack","tt0112281,tt0408381,tt0436992,tt0142032",0.0004965857,0.0005218579,0.0006468103,0.0012034165,0.00039337823,0.975091,5.49789e-05,0.0061674532,0.0043048044,0.00029880495,0.008370922,0.0023159026,0.00013414842,"GreaterEuropean,British"
nm1404239,Evan Peters,Evan,Peters,1987,\N,"actor,producer,soundtrack","tt3385516,tt1877832,tt1023111,tt6565702",0.007011653,0.0116816955,0.001917874,0.0054926034,0.0024116226,0.6073163,0.019724267,0.09374632,0.03462913,0.10122954,0.020305824,0.009122741,0.08541045,"GreaterEuropean,British"
nm3458761,David Mazouz,David,Mazouz,2001,\N,actor,"tt1821681,tt1878841,tt3749900,tt0386676",0.00058629666,0.0007846456,0.003504512,0.020956803,0.08772169,0.05929875,0.01617991,0.21818875,0.4998053,0.00045429624,0.06018861,0.032148797,0.00018174338,"GreaterEuropean,WestEuropean,French"
nm0364110,Maestro Harrell,Maestro,Harrell,1991,\N,"actor,soundtrack,miscellaneous","tt7424200,tt3743822,tt0306414,tt8772296",0.004180505,0.0067655295,0.0009546824,0.0024011382,0.004544135,0.115554154,0.0024812173,0.0323984,0.015490563,0.006787995,0.6795758,0.1274295,0.001436432,"GreaterEuropean,WestEuropean,Hispanic"
nm0005113,Eriq La Salle,Eriq,La Salle,1962,\N,"actor,producer,director","tt0094898,tt0108757,tt0265459,tt3315342",0.0015100178,0.0044983407,0.0037874586,0.4497577,0.03390798,0.10382529,0.07468472,0.041939933,0.11426202,0.008159249,0.13271888,0.013914386,0.01703405,"GreaterAfrican,Africans"
nm0479131,Rosemarie La Vaullée,Rosemarie,La Vaullée,\N,\N,actress,"tt0182570,tt0173536,tt0832453,tt0192999",0.00015878488,0.00017126203,0.00022019715,0.00092799077,4.3428583e-05,0.0142414905,0.0006844624,0.0033173207,0.9563337,0.0018090361,0.0073971236,0.009879333,0.0048158197,"GreaterEuropean,WestEuropean,French"
nm1272826,Lindsay Pulsipher,Lindsay,Pulsipher,1982,\N,"actress,soundtrack","tt1489428,tt1985443,tt0203259,tt0844441",0.004103495,0.0039058016,0.007387985,0.006759686,0.0020292194,0.6482767,0.0021673655,0.25545183,0.031023068,0.0007888232,0.013841044,0.020830253,0.0034347298,"GreaterEuropean,British"
