budget,genres,id,imdb_id,title,production_companies,production_countries,release_date,revenue,runtime,spoken_languages
0,Comedy,10071,tt0784972,The Brothers Solomon,"{Revolution Studios}, {TriStar Pictures}, {Carsey-Werner Company}",US,2007-09-07,0,93,"[{'iso_639_1': 'en', 'name': 'English'}]"
21000000,"Crime, Drama, Mystery",4351,tt0445935,Bordertown,"{Mosaic Media Group}, {El Norte Productions}, {Nuyorican Productions}, {Mobius Entertainment Ltd.}",US,2006-05-18,0,112,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'es', 'name': 'Español'}]"
0,"Drama, Fantasy, Mystery, Science Fiction, Thriller",12994,tt0810988,The Nines,"{Destination Films}, {Jinks/Cohen Company}",US,2007-01-21,0,100,"[{'iso_639_1': 'en', 'name': 'English'}]"
15000000,"Comedy, Drama, Romance, Fantasy, Music",13501,tt0484111,The Good Night,"{Destination Films}, {Tempesta Films}, {Good Night Productions}","DE, GB, US",2007-01-25,20380,93,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'it', 'name': 'Italiano'}]"
0,"Horror, Action, Thriller",1992,tt1077258,Planet Terror,{Dimension Films},US,2007-04-06,0,105,"[{'iso_639_1': 'en', 'name': 'English'}]"
55000000,Western,5176,tt0381849,3:10 to Yuma,"{Tree Line Films}, {Lionsgate}, {Relativity Media}, {Yuma}",US,2007-09-06,70016220,122,"[{'iso_639_1': 'en', 'name': 'English'}]"
39000000,"Action, Thriller, Comedy, Crime",4141,tt0465602,Shoot 'Em Up,"{New Line Cinema}, {Angry Films}",US,2007-07-26,26820641,86,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'it', 'name': 'Italiano'}]"
0,Comedy,13173,tt0811106,The Ten,{Ascot Elite Home Entertainment},US,2007-08-03,0,96,"[{'iso_639_1': 'es', 'name': 'Español'}, {'iso_639_1': 'en', 'name': 'English'}]"
0,Drama,19583,tt0401420,Fierce People,{Lions Gate Entertainments},"US, CA",2005-01-01,0,112,"[{'iso_639_1': 'en', 'name': 'English'}]"
30000000,"Drama, Romance",4347,tt0783233,Atonement,"{Universal Pictures}, {Studio Canal}, {Relativity Media}, {Working Title Films}","GB, FR, US",2007-08-29,129266061,123,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]"
0,Science Fiction,13529,tt0800022,Daft Punk's Electroma,,"FR, US",2006-03-24,0,74,[]
15000000,"Action, Thriller",13722,tt0427528,Mercenary for Justice,,"AW, US, ZA",2006-04-25,0,91,"[{'iso_639_1': 'cs', 'name': 'Český'}, {'iso_639_1': 'en', 'name': 'English'}]"
70000000,"Crime, Drama, Thriller",4413,tt0476964,The Brave One,"{Village Roadshow Pictures}, {Silver Pictures}, {Warner Bros.}",US,2007-09-14,69766619,122,"[{'iso_639_1': 'en', 'name': 'English'}]"
23000000,"History, Drama, Thriller, Crime, Mystery",6973,tt0478134,In the Valley of Elah,"{Summit Entertainment}, {Blackfriars Bridge Films}, {NALA Films}, {Samuels Media}, {Warner Independent Pictures (WIP)}",US,2007-08-31,29541790,124,"[{'iso_639_1': 'en', 'name': 'English'}]"
24000000,"Comedy, Drama, Romance",15019,tt0466839,I Could Never Be Your Woman,"{Scott Rudin Productions}, {I Could Never Ltd.}, {Bauer Martinez Studios}",US,2007-05-11,9576495,97,"[{'iso_639_1': 'en', 'name': 'English'}]"
